note,pitch,chord,bar,mapped voice,cost,category
1,67,1,1 1/1,1,0,repetition
15,67,14,2 1/1,1,0,repetition
16,74,14,2 1/1,0,0,repetition
28,60,23,3,1,0,repetition
33,66,27,3 1/1,1,2,ficta
39,67,32,3 2/1,1,0,repetition
43,67,35,3 5/2,1,1,other
45,67,37,3 11/4,1,1,other
52,66,43,4 3/4,1,1,ficta
54,55,45,4 1/1,3,0,repetition
56,71,45,4 1/1,0,0,repetition
63,74,48,4 2/1,0,0,repetition
75,55,57,5 1/1,3,0,repetition
76,62,57,5 1/1,2,0,repetition
95,54,73,6 1/1,3,2,ficta
102,55,78,6 2/1,3,0,repetition
105,55,80,6 5/2,3,1,other
113,55,86,7 1/1,3,0,repetition
114,62,86,7 1/1,2,0,repetition
122,67,92,7 2/1,1,0,repetition
126,66,95,7 5/2,1,1,ficta
140,55,107,8 1/1,3,0,repetition
141,67,107,8 1/1,1,0,repetition
146,79,110,8 2/1,0,0,repetition
148,69,112,8 5/2,1,0,repetition
153,67,116,9 1/1,1,0,repetition
161,77,121,9 2/1,0,0,repetition
173,76,130,10 1/1,0,0,repetition
175,62,132,10 3/2,1,0,repetition
179,74,134,10 2/1,0,0,repetition
181,74,136,10 5/2,0,0,repetition
194,62,146,11 1/1,1,0,repetition
195,74,146,11 1/1,0,0,repetition
202,55,153,11 2/1,3,0,repetition
203,62,153,11 2/1,1,0,repetition
204,74,153,11 2/1,0,0,repetition
205,54,154,11 5/2,3,1,ficta
214,61,162,12 1/1,2,1,other
218,55,166,12 3/2,3,0,repetition
219,67,166,12 3/2,2,0,repetition
223,67,169,12 2/1,2,0,repetition
226,67,172,12 5/2,2,0,repetition
235,55,180,13 1/1,3,0,repetition
244,65,188,13 2/1,2,0,repetition
257,64,199,14 1/1,2,0,repetition
265,62,207,14 5/2,2,0,repetition
294,55,230,16 1/1,2,0,repetition
334,57,262,18 1/1,2,0,repetition
356,69,279,19 1/1,0,0,repetition
376,77,293,20 1/1,0,0,repetition
383,76,295,20 2/1,0,0,repetition
387,66,298,20 11/4,1,1,ficta
392,58,301,21 1/2,3,3,ficta
397,60,302,21 1/1,2,2,other
402,69,304,21 3/2,1,0,repetition
405,60,306,21 2/1,3,0,repetition
408,76,306,21 2/1,0,0,repetition
417,74,310,22,0,0,repetition
418,70,311,22 1/4,0,4,ficta
441,58,322,23,3,0,repetition
452,72,326,23 1/1,0,0,repetition
474,65,336,24 1/2,1,0,repetition
477,57,338,24 1/1,3,0,repetition
484,54,341,24 7/4,3,2,other
488,71,342,24 2/1,0,0,repetition
489,54,343,24 9/4,3,1,other
491,57,345,24 5/2,3,2,other
493,57,347,24 11/4,3,2,other
514,55,358,25 2/1,3,0,repetition
534,69,366,26 1/1,0,0,repetition
546,67,371,26 2/1,0,0,repetition
549,67,374,26 5/2,0,1,other
551,67,376,26 11/4,0,1,other
555,43,380,27,3,7,other
