note,pitch,chord,bar,mapped voice,cost,category
1,62,1,1 1/2,1,0,repetition
2,60,2,1 11/16,1,n/a,ornamentation
3,62,3,1 3/4,1,n/a,ornamentation
4,64,4,1 13/16,1,n/a,ornamentation
5,65,5,1 7/8,1,n/a,ornamentation
6,67,6,1 15/16,1,n/a,ornamentation
10,62,8,2 1/4,1,n/a,ornamentation
11,64,9,2 3/8,1,n/a,ornamentation
12,50,10,2 1/2,3,0,repetition
14,69,10,2 1/2,0,0,repetition
15,69,11,2 5/8,0,n/a,ornamentation
16,67,12,2 11/16,0,n/a,ornamentation
17,66,13,2 3/4,0,n/a,ornamentation
18,67,14,2 13/16,0,n/a,ornamentation
19,69,15,2 7/8,0,n/a,ornamentation
20,71,16,2 15/16,0,n/a,ornamentation
24,62,18,3 3/16,1,n/a,ornamentation
25,64,19,3 1/4,1,n/a,ornamentation
26,62,20,3 5/16,1,n/a,ornamentation
27,60,21,3 3/8,1,n/a,ornamentation
28,59,22,3 7/16,1,n/a,ornamentation
32,59,24,3 5/8,1,n/a,ornamentation
33,57,25,3 3/4,3,0,repetition
34,60,25,3 3/4,1,0,repetition
35,72,25,3 3/4,0,0,repetition
39,69,27,4 3/16,0,n/a,ornamentation
40,71,28,4 1/4,0,n/a,ornamentation
41,69,29,4 5/16,0,n/a,ornamentation
42,67,30,4 3/8,0,n/a,ornamentation
43,66,31,4 7/16,0,n/a,ornamentation
47,66,33,4 5/8,0,n/a,ornamentation
48,64,34,4 11/16,0,n/a,ornamentation
49,62,35,4 3/4,0,n/a,ornamentation
50,64,36,4 13/16,0,n/a,ornamentation
51,66,37,4 7/8,0,n/a,ornamentation
52,67,38,4 15/16,0,n/a,ornamentation
56,72,40,5 1/8,0,n/a,ornamentation
58,71,41,5 1/4,0,2,other
59,69,42,5 3/8,0,n/a,ornamentation
63,69,44,5 5/8,0,n/a,ornamentation
65,67,45,5 3/4,0,4,other
66,66,46,5 7/8,0,n/a,ornamentation
80,59,52,6 13/16,1,n/a,ornamentation
81,60,53,6 7/8,1,0,repetition
82,59,54,6 29/32,1,n/a,ornamentation
83,60,55,6 15/16,1,n/a,ornamentation
84,62,56,6 31/32,1,n/a,ornamentation
88,69,58,7 1/8,0,n/a,ornamentation
89,67,59,7 3/16,0,n/a,ornamentation
90,58,60,7 1/4,3,4,other
93,67,61,7 3/8,0,n/a,ornamentation
94,65,62,7 7/16,0,n/a,ornamentation
96,62,63,7 1/2,1,0,repetition
98,61,64,7 5/8,1,n/a,ornamentation
99,59,65,7 11/16,1,n/a,ornamentation
101,62,67,7 13/16,1,n/a,ornamentation
102,59,68,7 7/8,1,n/a,ornamentation
103,61,69,7 15/16,1,n/a,ornamentation
