note,pitch,chord,bar,mapped voice,cost,category
2,43,1,1 1/1,4,0,repetition
3,55,1,1 1/1,3,0,repetition
6,55,3,2,3,0,repetition
8,55,4,2 1/1,3,0,repetition
12,55,6,3 1/1,3,0,repetition
16,43,8,4 1/1,5,0,repetition
17,46,8,4 1/1,4,0,repetition
18,55,8,4 1/1,3,0,repetition
23,55,10,5,3,0,repetition
26,55,11,5 1/1,3,0,repetition
31,50,13,6 1/1,4,0,repetition
32,55,13,6 1/1,3,0,repetition
36,43,15,7 1/1,4,0,repetition
37,46,15,7 1/1,5,0,repetition
38,55,15,7 1/1,3,0,repetition
43,55,17,8,3,0,repetition
51,53,22,9 1/1,5,0,repetition
54,55,24,9 7/4,5,2,other
56,57,25,10,5,0,repetition
58,50,27,10 1/2,5,0,repetition
62,52,29,10 5/4,5,1,other
63,53,30,10 3/2,5,0,repetition
65,46,32,11,5,0,repetition
67,53,32,11,3,0,repetition
84,55,44,12 5/4,5,0,repetition
91,58,47,13 1/1,3,0,repetition
92,67,47,13 1/1,0,0,repetition
95,55,49,14,5,0,repetition
98,67,49,14,0,0,repetition
102,67,50,14 1/1,0,0,repetition
108,58,52,15 1/2,2,0,repetition
111,62,53,15 1/1,5,7,other
112,67,53,15 1/1,0,0,repetition
118,43,56,16 1/1,4,0,repetition
120,58,56,16 1/1,2,0,repetition
122,67,56,16 1/1,0,0,repetition
127,67,58,17,0,0,repetition
131,67,59,17 1/1,0,0,repetition
138,67,61,18 1/1,0,0,repetition
146,58,64,19 1/1,1,0,repetition
148,67,64,19 1/1,0,0,repetition
154,67,66,20,0,0,repetition
158,55,68,20 1/1,4,0,repetition
167,65,70,21 1/2,2,0,repetition
168,50,71,21 1/1,4,0,repetition
169,53,71,21 1/1,5,0,repetition
170,57,71,21 1/1,3,0,repetition
172,69,71,21 1/1,0,0,repetition
174,50,73,22,4,0,repetition
175,53,73,22,5,0,repetition
182,53,76,22 1/1,4,3,other
184,65,76,22 1/1,1,0,repetition
186,64,77,22 3/2,1,0,repetition
190,62,79,23,1,0,repetition
191,65,79,23,0,0,repetition
196,53,82,23 1/1,3,0,repetition
199,65,82,23 1/1,0,0,repetition
205,65,85,24,0,0,repetition
207,53,86,24 1/2,5,3,other
209,62,87,24 1/1,1,0,repetition
210,65,87,24 1/1,0,0,repetition
212,51,88,24 5/4,5,1,ficta
214,57,89,24 3/2,2,5,other
219,43,92,25 1/1,4,0,repetition
220,58,92,25 1/1,3,0,repetition
225,58,95,26,3,0,repetition
229,43,97,26 1/1,5,0,repetition
230,58,97,26 1/1,3,0,repetition
241,58,103,27 1/1,3,0,repetition
