note,pitch,chord,bar,mapped voice,cost,category
15,65,9,3 1/1,2,0,repetition
20,72,12,4,0,0,repetition
35,55,22,6 1/2,2,n/a,ornamentation
42,62,28,7,2,0,repetition
52,67,35,8,0,0,repetition
58,62,40,9 1/1,2,0,repetition
63,62,44,11,2,0,repetition
67,50,46,11 1/1,3,0,repetition
90,72,58,14 1/1,0,0,repetition
108,67,66,16 1/1,1,0,repetition
111,65,67,16 3/2,1,3,other
117,50,71,17 1/2,3,0,repetition
119,69,71,17 1/2,0,0,repetition
128,60,75,17 3/2,2,0,repetition
148,48,84,20 1/1,3,0,repetition
149,64,84,20 1/1,1,0,repetition
150,67,84,20 1/1,0,0,repetition
163,53,89,21 3/2,2,n/a,ornamentation
169,45,93,22 1/1,3,0,repetition
170,57,93,22 1/1,2,0,repetition
173,60,94,22 3/2,0,0,repetition
175,45,96,23,3,0,repetition
179,60,97,23 1/2,1,0,repetition
181,45,99,23 1/1,3,0,repetition
182,57,99,23 1/1,2,0,repetition
191,65,104,24 3/2,1,0,repetition
204,65,112,26,1,n/a,ornamentation
213,62,118,27 1/1,1,0,repetition
220,57,122,29 1/2,3,n/a,ornamentation
229,60,129,30 1/1,2,0,repetition
238,60,135,31 1/2,2,0,repetition
243,57,139,32 1/1,2,0,repetition
251,57,144,34 3/2,3,n/a,ornamentation
260,60,151,36,2,0,repetition
269,60,157,36 3/2,2,0,repetition
279,57,165,39 1/1,2,0,repetition
289,52,172,41 1/2,3,0,repetition
290,60,172,41 1/2,2,2,ficta
294,60,174,41 1/1,2,1,ficta
297,50,176,42 1/1,3,0,repetition
304,69,179,43 1/1,0,0,repetition
314,64,186,45 1/2,1,0,repetition
315,72,186,45 1/2,0,2,ficta
318,45,188,45 1/1,3,5,other
320,72,188,45 1/1,0,1,ficta
321,69,189,45 5/4,0,n/a,ornamentation
322,71,190,45 3/2,0,2,other
323,72,191,45 7/4,0,n/a,ornamentation
329,62,194,46 1/1,2,0,repetition
330,74,194,46 1/1,0,0,repetition
332,50,196,47,3,0,repetition
340,62,200,48,2,0,repetition
341,50,201,48 1/2,3,0,repetition
349,62,206,49 1/2,2,0,repetition
361,74,212,50 1/1,0,0,repetition
363,62,214,51,2,0,repetition
378,53,223,53 1/1,3,0,repetition
379,65,223,53 1/1,1,0,repetition
389,53,228,55,3,0,repetition
390,60,228,55,2,0,repetition
391,69,228,55,0,0,repetition
398,64,231,55 3/2,2,n/a,ornamentation
399,62,232,55 7/4,2,2,other
404,72,234,56 1/2,0,0,repetition
419,64,241,57 3/2,1,n/a,ornamentation
423,64,243,58,1,2,other
426,45,246,58 1/1,3,0,repetition
446,71,255,60,0,0,repetition
473,65,267,62,1,0,repetition
479,60,270,62 1/1,1,2,ficta
482,59,272,62 3/2,2,2,other
