note,pitch,chord,bar,mapped voice,cost,category
2,53,2,1 3/2,4,0,repetition
4,55,4,2 1/4,4,n/a,ornamentation
5,57,5,2 1/2,4,n/a,ornamentation
6,58,6,2 5/8,4,n/a,ornamentation
7,60,7,2 3/4,4,n/a,ornamentation
8,58,8,2 13/16,4,n/a,ornamentation
9,60,9,2 7/8,4,n/a,ornamentation
10,57,10,2 15/16,4,n/a,ornamentation
12,57,12,2 5/4,4,n/a,ornamentation
13,58,13,2 11/8,4,n/a,ornamentation
14,60,14,2 3/2,4,n/a,ornamentation
15,58,15,2 13/8,4,n/a,ornamentation
16,60,16,2 7/4,4,n/a,ornamentation
17,58,17,2 29/16,4,n/a,ornamentation
18,57,18,2 15/8,4,n/a,ornamentation
19,55,19,2 31/16,4,n/a,ornamentation
22,53,21,3 1/4,4,n/a,ornamentation
23,55,22,3 3/8,4,n/a,ornamentation
24,57,23,3 1/2,4,n/a,ornamentation
25,58,24,3 5/8,4,n/a,ornamentation
26,60,25,3 3/4,4,n/a,ornamentation
27,62,26,3 7/8,4,n/a,ornamentation
30,52,28,3 5/4,2,n/a,ornamentation
31,53,29,3 3/2,2,n/a,ornamentation
32,55,30,3 7/4,2,n/a,ornamentation
34,60,31,4,4,0,repetition
35,58,32,4 1/4,4,n/a,ornamentation
36,60,33,4 3/8,4,n/a,ornamentation
37,62,34,4 1/2,4,2,other
38,60,35,4 5/8,4,n/a,ornamentation
39,58,36,4 3/4,4,0,repetition
40,57,37,4 7/8,2,n/a,ornamentation
43,62,39,4 9/8,2,n/a,ornamentation
44,60,40,4 5/4,2,n/a,ornamentation
45,58,41,4 11/8,2,n/a,ornamentation
46,60,42,4 3/2,2,n/a,ornamentation
47,58,43,4 13/8,2,n/a,ornamentation
48,60,44,4 7/4,2,n/a,ornamentation
49,58,45,4 29/16,2,n/a,ornamentation
50,57,46,4 15/8,2,n/a,ornamentation
51,55,47,4 31/16,2,n/a,ornamentation
62,60,55,6,2,0,repetition
63,48,56,6 1/4,4,n/a,ornamentation
67,53,59,6 1/1,4,0,repetition
70,50,61,6 11/8,4,n/a,ornamentation
72,55,62,6 3/2,2,0,repetition
73,53,63,6 7/4,4,1,other
74,52,64,6 29/16,4,n/a,ornamentation
75,50,65,6 15/8,4,n/a,ornamentation
76,52,66,6 31/16,4,n/a,ornamentation
79,52,68,7 3/8,4,n/a,ornamentation
81,53,70,7 3/4,4,3,repetition
82,53,70,7 3/4,2,0,
86,55,73,8,4,n/a,ornamentation
87,48,74,8 1/4,4,n/a,ornamentation
93,55,78,8 3/2,2,0,repetition
94,57,79,8 7/4,2,n/a,ornamentation
95,55,80,8 29/16,2,n/a,ornamentation
96,53,81,8 15/8,2,n/a,ornamentation
97,55,82,8 31/16,2,n/a,ornamentation
100,55,84,9 1/4,4,n/a,ornamentation
103,57,86,9 3/4,2,n/a,ornamentation
106,53,88,9 5/4,4,n/a,ornamentation
107,55,89,9 11/8,4,n/a,ornamentation
110,58,91,9 7/4,2,n/a,ornamentation
