note,pitch,chord,bar,mapped voice,cost,category
1,58,1,1 1/1,0,0,repetition
24,51,23,3 1/1,1,0,repetition
38,46,34,4 1/1,2,0,repetition
40,62,34,4 1/1,0,0,repetition
65,39,53,6 1/1,3,0,repetition
67,55,53,6 1/1,1,0,repetition
68,67,53,6 1/1,0,0,repetition
70,39,55,6 3/2,3,0,repetition
71,51,55,6 3/2,2,0,repetition
72,55,55,6 3/2,1,0,repetition
73,67,55,6 3/2,0,0,repetition
85,50,61,8,2,0,repetition
86,55,61,8,1,0,repetition
90,56,64,8 1/2,1,1,other
92,53,66,8 3/4,1,0,repetition
97,60,68,8 1/1,0,0,repetition
99,44,70,8 3/2,3,0,repetition
100,55,70,8 3/2,1,2,other
109,43,76,9 1/1,3,0,repetition
111,55,76,9 1/1,1,0,repetition
112,58,76,9 1/1,0,0,repetition
114,43,78,10,3,0,repetition
115,51,78,10,2,0,repetition
116,55,78,10,1,0,repetition
119,53,81,10 1/2,2,2,other
121,53,83,10 3/4,1,2,other
125,43,87,10 1/1,3,0,repetition
138,55,94,11 1/1,0,0,repetition
170,56,116,13 1/1,1,0,repetition
174,58,119,13 3/2,1,2,other
176,58,121,13 7/4,0,2,other
197,63,135,15,0,0,repetition
201,39,138,15 1/1,3,0,repetition
208,55,142,16,1,0,repetition
209,58,142,16,0,0,repetition
212,46,144,16 1/1,2,0,repetition
229,48,152,18 1/1,2,0,repetition
240,45,161,19 3/4,3,2,ficta
253,48,172,20,3,0,repetition
254,51,172,20,2,0,repetition
260,46,176,20 1/1,3,0,repetition
263,46,178,20 3/2,3,0,repetition
305,62,206,24 1/2,0,0,repetition
312,58,211,25,1,0,repetition
313,67,211,25,0,0,repetition
315,65,212,25 1/4,0,2,other
322,65,215,25 1/1,0,0,repetition
342,46,230,27,3,0,repetition
349,56,234,27 1/1,1,0,repetition
357,55,240,28,1,0,repetition
360,44,242,28 1/2,3,1,other
364,51,244,28 1/1,1,0,repetition
368,41,247,28 3/2,3,0,repetition
370,65,247,28 3/2,0,0,repetition
383,62,255,29 3/2,0,3,other
386,67,257,30,0,0,repetition
400,39,263,31,3,0,repetition
402,58,263,31,1,0,repetition
403,67,263,31,0,0,repetition
413,63,266,31 1/1,0,0,repetition
439,41,281,33,3,0,repetition
441,56,281,33,1,0,repetition
442,60,281,33,0,0,repetition
450,53,285,33 1/1,1,0,repetition
465,41,296,34 1/1,3,0,repetition
474,60,300,35,0,0,repetition
482,58,304,35 1/1,0,0,repetition
485,58,307,35 3/2,0,0,repetition
491,34,313,36,3,7,other
496,34,316,36 1/1,3,12,other
519,58,327,38,1,0,repetition
523,48,330,38 1/2,3,0,repetition
534,53,335,39,2,0,repetition
535,62,335,39,0,0,repetition
555,63,347,40 1/1,0,0,repetition
558,63,350,40 3/2,0,0,repetition
574,39,363,41 1/1,3,0,repetition
