note,pitch,chord,bar,mapped voice,cost,category
2,55,1,1 1/1,2,0,repetition
3,58,1,1 1/1,4,0,repetition
4,62,2,1 9/8,4,n/a,ornamentation
5,60,3,1 5/4,4,n/a,ornamentation
6,58,4,1 11/8,4,n/a,ornamentation
7,60,5,1 3/2,4,n/a,ornamentation
8,58,6,1 13/8,4,n/a,ornamentation
9,53,7,1 7/4,4,n/a,ornamentation
10,55,8,1 15/8,4,n/a,ornamentation
13,55,10,2 3/8,2,n/a,ornamentation
14,53,11,2 1/2,2,n/a,ornamentation
15,52,12,2 5/8,2,n/a,ornamentation
16,50,13,2 3/4,2,n/a,ornamentation
17,48,14,2 7/8,2,n/a,ornamentation
19,53,15,2 1/1,4,0,repetition
20,48,16,2 5/4,2,n/a,ornamentation
21,50,17,2 3/2,2,0,repetition
24,48,19,3 1/2,2,n/a,ornamentation
25,50,20,3 5/8,2,n/a,ornamentation
26,52,21,3 3/4,2,n/a,ornamentation
27,53,22,3 7/8,2,n/a,ornamentation
28,52,23,3 1/1,2,0,repetition
29,55,23,3 1/1,4,0,repetition
30,50,24,3 5/4,2,n/a,ornamentation
31,52,25,3 3/2,2,0,repetition
32,55,25,3 3/2,4,0,repetition
33,53,26,3 7/4,2,n/a,ornamentation
37,62,27,4,3,4,other
38,57,28,4 3/8,3,n/a,ornamentation
39,55,29,4 1/2,3,n/a,ornamentation
40,57,30,4 5/8,3,n/a,ornamentation
41,58,31,4 3/4,3,n/a,ornamentation
42,60,32,4 7/8,3,n/a,ornamentation
43,43,33,4 1/1,5,0,repetition
44,55,33,4 1/1,2,0,repetition
45,58,33,4 1/1,3,0,repetition
47,45,34,4 5/4,5,n/a,ornamentation
48,46,35,4 3/2,5,n/a,ornamentation
49,48,36,4 7/4,5,n/a,ornamentation
53,62,37,5,4,0,repetition
56,53,39,5 1/1,3,0,repetition
59,70,40,5 5/4,4,n/a,ornamentation
60,69,41,5 11/8,4,n/a,ornamentation
61,67,42,5 3/2,4,2,other
62,65,43,5 13/8,4,n/a,ornamentation
63,64,44,5 7/4,4,n/a,ornamentation
64,62,45,5 15/8,4,n/a,ornamentation
69,62,47,6 3/8,4,n/a,ornamentation
70,60,48,6 1/2,4,n/a,ornamentation
71,62,49,6 5/8,4,n/a,ornamentation
72,64,50,6 3/4,4,n/a,ornamentation
73,65,51,6 7/8,4,n/a,ornamentation
74,48,52,6 1/1,5,0,repetition
75,55,52,6 1/1,3,0,repetition
76,60,52,6 1/1,1,0,repetition
77,64,52,6 1/1,4,0,repetition
78,48,53,6 5/4,5,n/a,ornamentation
80,45,55,6 7/4,5,n/a,ornamentation
86,55,57,7 1/2,3,n/a,ornamentation
87,57,58,7 5/8,3,n/a,ornamentation
88,58,59,7 3/4,3,n/a,ornamentation
89,60,60,7 7/8,3,n/a,ornamentation
91,55,61,7 1/1,2,0,repetition
92,58,61,7 1/1,1,0,repetition
94,74,61,7 1/1,0,0,repetition
95,72,62,7 5/4,0,n/a,ornamentation
96,70,63,7 11/8,0,n/a,ornamentation
97,72,64,7 3/2,0,n/a,ornamentation
98,70,65,7 13/8,0,n/a,ornamentation
99,69,66,7 7/4,0,n/a,ornamentation
100,67,67,7 15/8,0,n/a,ornamentation
103,62,68,8,4,0,repetition
110,64,71,8 5/4,3,n/a,ornamentation
111,65,72,8 11/8,3,n/a,ornamentation
112,67,73,8 3/2,3,2,other
113,65,74,8 13/8,3,n/a,ornamentation
114,64,75,8 7/4,3,n/a,ornamentation
115,62,76,8 15/8,3,n/a,ornamentation
120,62,78,9 1/4,0,n/a,ornamentation
121,64,79,9 3/8,0,n/a,ornamentation
122,65,80,9 1/2,0,n/a,ornamentation
123,67,81,9 5/8,0,n/a,ornamentation
124,69,82,9 3/4,0,n/a,ornamentation
125,70,83,9 7/8,0,n/a,ornamentation
126,48,84,9 1/1,5,0,repetition
127,55,84,9 1/1,2,0,repetition
128,64,84,9 1/1,3,0,repetition
129,72,84,9 1/1,0,0,repetition
130,48,85,9 5/4,5,n/a,ornamentation
132,45,87,9 7/4,5,n/a,ornamentation
137,60,89,10 1/4,0,n/a,ornamentation
138,62,90,10 3/8,0,n/a,ornamentation
139,64,91,10 1/2,0,n/a,ornamentation
140,65,92,10 5/8,0,n/a,ornamentation
141,67,93,10 3/4,0,n/a,ornamentation
142,69,94,10 7/8,0,n/a,ornamentation
147,45,96,10 5/4,5,n/a,ornamentation
148,46,97,10 3/2,5,n/a,ornamentation
149,48,98,10 7/4,5,n/a,ornamentation
154,67,100,11 1/4,0,n/a,ornamentation
155,65,101,11 3/8,0,n/a,ornamentation
156,64,102,11 1/2,0,n/a,ornamentation
157,65,103,11 5/8,0,n/a,ornamentation
158,67,104,11 3/4,0,n/a,ornamentation
159,69,105,11 7/8,0,n/a,ornamentation
164,69,107,11 7/4,0,n/a,ornamentation
170,62,109,12 3/8,4,n/a,ornamentation
171,60,110,12 1/2,4,n/a,ornamentation
172,62,111,12 5/8,4,n/a,ornamentation
173,64,112,12 3/4,4,n/a,ornamentation
174,65,113,12 7/8,4,n/a,ornamentation
175,48,114,12 1/1,5,0,repetition
176,52,114,12 1/1,2,0,repetition
177,60,114,12 1/1,1,0,repetition
178,64,114,12 1/1,4,0,repetition
179,67,114,12 1/1,0,0,repetition
180,62,115,12 5/4,4,n/a,ornamentation
181,64,116,12 3/2,4,0,repetition
186,64,118,13 1/4,0,n/a,ornamentation
187,62,119,13 3/8,0,n/a,ornamentation
188,64,120,13 1/2,0,n/a,ornamentation
189,65,121,13 5/8,0,n/a,ornamentation
190,67,122,13 3/4,0,n/a,ornamentation
191,69,123,13 7/8,0,n/a,ornamentation
195,45,125,13 5/4,5,n/a,ornamentation
196,46,126,13 3/2,5,n/a,ornamentation
197,48,127,13 7/4,5,n/a,ornamentation
202,67,129,14 1/4,0,n/a,ornamentation
203,65,130,14 3/8,0,n/a,ornamentation
204,64,131,14 1/2,0,n/a,ornamentation
205,65,132,14 5/8,0,n/a,ornamentation
206,67,133,14 3/4,0,n/a,ornamentation
207,69,134,14 7/8,0,n/a,ornamentation
212,69,136,14 7/4,0,n/a,ornamentation
218,62,138,15 3/8,3,n/a,ornamentation
219,60,139,15 1/2,3,n/a,ornamentation
220,62,140,15 5/8,3,n/a,ornamentation
221,64,141,15 3/4,3,n/a,ornamentation
222,65,142,15 7/8,3,n/a,ornamentation
223,48,143,15 1/1,5,0,repetition
224,52,143,15 1/1,2,0,repetition
225,60,143,15 1/1,1,0,repetition
226,64,143,15 1/1,3,0,repetition
227,67,143,15 1/1,0,0,repetition
228,62,144,15 5/4,3,n/a,ornamentation
229,64,145,15 3/2,3,0,repetition
234,48,147,16 3/8,5,n/a,ornamentation
235,50,148,16 1/2,5,n/a,ornamentation
236,48,149,16 5/8,5,n/a,ornamentation
237,46,150,16 3/4,5,n/a,ornamentation
238,45,151,16 7/8,5,n/a,ornamentation
243,69,153,16 11/8,1,n/a,ornamentation
244,67,154,16 3/2,1,n/a,ornamentation
245,65,155,16 13/8,1,n/a,ornamentation
246,64,156,16 7/4,1,n/a,ornamentation
247,62,157,16 15/8,1,n/a,ornamentation
252,67,159,17 1/8,1,n/a,ornamentation
253,65,160,17 1/4,1,n/a,ornamentation
254,64,161,17 3/8,1,n/a,ornamentation
255,65,162,17 1/2,1,n/a,ornamentation
256,64,163,17 5/8,1,n/a,ornamentation
257,62,164,17 3/4,1,n/a,ornamentation
258,60,165,17 7/8,1,n/a,ornamentation
263,45,167,17 5/4,5,n/a,ornamentation
264,46,168,17 3/2,5,n/a,ornamentation
265,48,169,17 7/4,5,n/a,ornamentation
267,54,170,18,2,1,ficta
270,55,171,18 3/4,4,2,other
271,50,172,18 1/1,5,0,repetition
272,57,172,18 1/1,4,0,repetition
273,62,172,18 1/1,3,0,repetition
274,55,173,18 5/4,4,n/a,ornamentation
275,50,174,18 3/2,5,0,repetition
276,55,174,18 3/2,4,2,other
277,54,175,18 7/4,4,n/a,ornamentation
281,62,176,19,3,0,repetition
282,57,177,19 1/4,1,n/a,ornamentation
283,58,178,19 1/2,1,n/a,ornamentation
284,57,179,19 5/8,1,n/a,ornamentation
285,55,180,19 3/4,1,n/a,ornamentation
286,54,181,19 7/8,1,n/a,ornamentation
291,64,183,19 5/4,0,n/a,ornamentation
292,65,184,19 11/8,0,n/a,ornamentation
293,67,185,19 3/2,0,n/a,ornamentation
294,65,186,19 13/8,0,n/a,ornamentation
295,64,187,19 7/4,0,n/a,ornamentation
296,62,188,19 15/8,0,n/a,ornamentation
298,55,189,20,4,0,repetition
301,60,190,20 1/4,0,n/a,ornamentation
302,64,191,20 1/2,0,0,repetition
303,65,192,20 3/4,0,n/a,ornamentation
308,70,194,20 5/4,0,n/a,ornamentation
309,69,195,20 3/2,0,n/a,ornamentation
310,67,196,20 7/4,0,n/a,ornamentation
314,66,197,21,0,1,ficta
315,64,198,21 3/8,0,n/a,ornamentation
316,62,199,21 1/2,0,n/a,ornamentation
317,64,200,21 5/8,0,n/a,ornamentation
318,66,201,21 3/4,0,1,other
319,67,202,21 7/8,0,n/a,ornamentation
321,57,203,21 1/1,3,0,repetition
322,62,203,21 1/1,2,0,repetition
323,66,203,21 1/1,0,2,ficta
324,64,204,21 5/4,0,n/a,ornamentation
325,62,205,21 11/8,0,n/a,ornamentation
326,61,206,21 3/2,0,n/a,ornamentation
327,62,207,21 13/8,0,n/a,ornamentation
328,64,208,21 7/4,0,n/a,ornamentation
329,66,209,21 15/8,0,n/a,ornamentation
335,67,211,22 1/4,0,n/a,ornamentation
336,65,212,22 3/8,0,n/a,ornamentation
337,64,213,22 1/2,0,n/a,ornamentation
338,62,214,22 5/8,0,n/a,ornamentation
339,64,215,22 3/4,0,n/a,ornamentation
340,65,216,22 13/16,0,n/a,ornamentation
341,67,217,22 7/8,0,n/a,ornamentation
342,69,218,22 15/16,0,n/a,ornamentation
344,55,219,22 1/1,3,0,repetition
345,58,219,22 1/1,2,0,repetition
346,62,219,22 1/1,4,0,repetition
354,55,223,23 3/4,5,0,repetition
355,50,224,23 1/1,5,5,other
358,74,224,23 1/1,0,0,repetition
360,70,226,23 11/8,0,n/a,ornamentation
361,72,227,23 3/2,0,0,repetition
362,70,228,23 13/8,0,n/a,ornamentation
363,69,229,23 7/4,0,n/a,ornamentation
364,67,230,23 15/8,0,n/a,ornamentation
368,69,231,24,0,1,other
369,65,232,24 1/4,0,n/a,ornamentation
370,70,233,24 1/2,0,0,repetition
371,69,234,24 3/4,0,0,repetition
372,70,235,24 7/8,0,n/a,ornamentation
373,53,236,24 1/1,5,0,repetition
374,60,236,24 1/1,4,0,repetition
375,65,236,24 1/1,1,0,repetition
376,70,236,24 1/1,0,3,other
377,69,237,24 5/4,0,n/a,ornamentation
378,67,238,24 11/8,0,n/a,ornamentation
379,69,239,24 3/2,0,n/a,ornamentation
380,70,240,24 13/8,0,n/a,ornamentation
381,67,241,24 7/4,0,n/a,ornamentation
382,69,242,24 15/8,0,n/a,ornamentation
387,45,244,25 3/4,5,n/a,ornamentation
390,62,245,25 1/1,3,0,repetition
392,60,246,25 5/4,0,n/a,ornamentation
393,62,247,25 11/8,0,n/a,ornamentation
394,64,248,25 3/2,0,n/a,ornamentation
395,65,249,25 13/8,0,n/a,ornamentation
396,67,250,25 7/4,0,n/a,ornamentation
397,69,251,25 15/8,0,n/a,ornamentation
402,72,253,26 3/8,0,n/a,ornamentation
408,74,256,26 1/1,0,0,repetition
409,75,257,26 5/4,0,1,other
410,74,258,26 11/8,0,n/a,ornamentation
411,72,259,26 3/2,0,0,repetition
412,70,260,26 13/8,0,n/a,ornamentation
413,69,261,26 7/4,0,n/a,ornamentation
414,67,262,26 15/8,0,n/a,ornamentation
418,69,263,27,0,1,other
419,67,264,27 3/8,2,n/a,ornamentation
420,65,265,27 1/2,2,0,repetition
421,67,266,27 5/8,0,n/a,ornamentation
422,69,267,27 3/4,0,0,repetition
423,70,268,27 7/8,0,n/a,ornamentation
424,53,269,27 1/1,5,0,repetition
425,60,269,27 1/1,3,0,repetition
426,65,269,27 1/1,2,0,repetition
427,70,269,27 1/1,0,3,other
428,69,270,27 5/4,0,n/a,ornamentation
429,67,271,27 11/8,0,n/a,ornamentation
430,70,272,27 3/2,0,n/a,ornamentation
431,69,273,27 13/8,0,n/a,ornamentation
432,70,274,27 7/4,0,n/a,ornamentation
433,69,275,27 29/16,0,n/a,ornamentation
434,67,276,27 15/8,0,n/a,ornamentation
435,69,277,27 31/16,0,n/a,ornamentation
440,64,279,28 3/4,2,n/a,ornamentation
441,46,280,28 1/1,5,0,repetition
445,70,280,28 1/1,0,0,repetition
446,58,281,28 5/4,2,n/a,ornamentation
447,57,282,28 11/8,2,n/a,ornamentation
448,58,283,28 3/2,2,n/a,ornamentation
449,60,284,28 13/8,2,n/a,ornamentation
450,62,285,28 7/4,2,n/a,ornamentation
451,64,286,28 15/8,2,n/a,ornamentation
455,64,288,29 1/4,2,n/a,ornamentation
456,62,289,29 1/2,2,n/a,ornamentation
457,64,290,29 5/8,2,n/a,ornamentation
458,65,291,29 3/4,2,0,repetition
459,67,292,29 7/8,2,n/a,ornamentation
460,57,293,29 1/1,1,0,repetition
461,60,293,29 1/1,4,0,repetition
463,67,294,29 5/4,2,n/a,ornamentation
464,65,295,29 11/8,2,n/a,ornamentation
468,65,297,29 7/4,2,n/a,ornamentation
471,64,298,30,2,0,repetition
473,53,300,30 1/2,1,0,repetition
476,61,301,30 3/4,2,1,other
477,62,302,30 7/8,2,n/a,ornamentation
480,62,303,30 1/1,2,0,repetition
482,61,304,30 5/4,2,n/a,ornamentation
483,59,305,30 11/8,2,n/a,ornamentation
484,52,306,30 3/2,1,0,repetition
485,55,306,30 3/2,4,0,repetition
488,59,307,30 7/4,2,n/a,ornamentation
489,61,308,30 15/8,2,n/a,ornamentation
494,64,310,31 3/8,0,n/a,ornamentation
495,62,311,31 1/2,0,n/a,ornamentation
496,64,312,31 5/8,0,n/a,ornamentation
497,65,313,31 3/4,0,0,repetition
498,67,314,31 7/8,0,n/a,ornamentation
500,57,315,31 1/1,4,0,repetition
503,50,316,31 5/4,2,n/a,ornamentation
504,48,317,31 11/8,2,n/a,ornamentation
506,48,319,31 13/8,5,n/a,ornamentation
507,50,320,31 7/4,5,n/a,ornamentation
508,52,321,31 15/8,5,n/a,ornamentation
512,52,323,32 1/4,5,n/a,ornamentation
513,53,324,32 3/8,5,n/a,ornamentation
514,55,325,32 1/2,5,n/a,ornamentation
515,53,326,32 5/8,5,n/a,ornamentation
516,52,327,32 3/4,5,n/a,ornamentation
517,50,328,32 7/8,5,n/a,ornamentation
520,60,329,32 1/1,3,0,repetition
521,62,330,32 5/4,3,n/a,ornamentation
522,60,331,32 11/8,3,n/a,ornamentation
526,57,333,32 7/4,3,n/a,ornamentation
527,60,334,32 15/8,3,n/a,ornamentation
528,50,335,33,5,0,repetition
529,53,335,33,2,0,repetition
530,58,335,33,3,0,repetition
533,57,336,33 1/4,4,0,repetition
534,46,337,33 1/2,5,2,other
535,50,337,33 1/2,1,0,repetition
536,57,337,33 1/2,4,0,repetition
537,45,338,33 3/4,5,0,repetition
538,48,338,33 3/4,2,0,repetition
541,57,339,33 1/1,3,0,repetition
543,53,340,33 5/4,3,n/a,ornamentation
544,55,341,33 11/8,3,n/a,ornamentation
545,57,342,33 3/2,3,n/a,ornamentation
546,55,343,33 13/8,3,n/a,ornamentation
547,57,344,33 7/4,3,n/a,ornamentation
548,55,345,33 29/16,3,n/a,ornamentation
549,53,346,33 15/8,3,n/a,ornamentation
550,55,347,33 31/16,3,n/a,ornamentation
555,59,349,34 1/4,0,n/a,ornamentation
556,57,350,34 3/8,0,n/a,ornamentation
557,59,351,34 1/2,0,n/a,ornamentation
558,60,352,34 5/8,0,n/a,ornamentation
559,62,353,34 3/4,0,n/a,ornamentation
560,64,354,34 7/8,0,n/a,ornamentation
573,58,359,35 1/1,4,0,repetition
575,69,360,35 9/8,0,n/a,ornamentation
576,70,361,35 5/4,0,n/a,ornamentation
577,69,362,35 3/2,0,n/a,ornamentation
578,67,363,35 7/4,0,n/a,ornamentation
584,50,366,36 1/1,5,0,repetition
586,57,366,36 1/1,4,0,repetition
588,69,366,36 1/1,0,0,repetition
589,65,367,36 5/4,3,n/a,ornamentation
591,64,368,36 3/2,3,2,other
592,62,369,36 7/4,3,n/a,ornamentation
596,47,371,37 3/8,5,n/a,ornamentation
597,48,372,37 1/2,5,n/a,ornamentation
598,45,373,37 5/8,5,n/a,ornamentation
599,47,374,37 3/4,5,n/a,ornamentation
600,48,375,37 7/8,5,n/a,ornamentation
613,58,380,38 1/1,3,0,repetition
616,62,381,38 5/4,1,n/a,ornamentation
618,64,383,38 13/8,0,n/a,ornamentation
619,65,384,38 7/4,0,n/a,ornamentation
620,67,385,38 15/8,0,n/a,ornamentation
627,50,388,39 1/1,5,0,repetition
629,57,388,39 1/1,4,0,repetition
632,70,389,39 5/4,0,n/a,ornamentation
633,69,390,39 21/16,0,n/a,ornamentation
634,67,391,39 11/8,0,n/a,ornamentation
635,69,392,39 23/16,0,n/a,ornamentation
637,67,394,39 7/4,0,n/a,ornamentation
638,69,395,39 15/8,0,n/a,ornamentation
642,70,396,40,0,0,repetition
646,43,400,40 1/1,5,0,repetition
648,62,400,40 1/1,4,0,repetition
650,70,401,40 9/8,0,n/a,ornamentation
651,69,402,40 5/4,0,n/a,ornamentation
