note,pitch,chord,bar,mapped voice,cost,category
1,67,1,1 1/1,1,0,repetition
3,72,2,1 3/2,1,n/a,ornamentation
4,70,3,1 13/8,1,n/a,ornamentation
5,69,4,1 7/4,1,n/a,ornamentation
6,67,5,1 15/8,1,n/a,ornamentation
7,66,6,2,1,1,ficta
9,67,7,2 1/4,1,n/a,ornamentation
10,64,8,2 1/2,1,n/a,ornamentation
11,66,9,2 3/4,1,n/a,ornamentation
13,66,11,2 9/8,0,n/a,ornamentation
14,67,12,2 5/4,0,n/a,ornamentation
15,69,13,2 11/8,0,n/a,ornamentation
16,70,14,2 3/2,0,n/a,ornamentation
17,69,15,2 13/8,0,n/a,ornamentation
18,70,16,2 7/4,0,n/a,ornamentation
19,72,17,2 15/8,0,n/a,ornamentation
21,67,18,3,1,0,repetition
26,74,20,3 1/1,0,0,repetition
32,66,24,4 1/2,1,2,ficta
36,72,26,4 3/2,1,n/a,ornamentation
37,70,27,4 13/8,1,n/a,ornamentation
38,69,28,4 7/4,1,n/a,ornamentation
39,67,29,4 15/8,1,n/a,ornamentation
43,67,31,5 1/4,0,n/a,ornamentation
45,70,33,5 3/4,3,n/a,ornamentation
47,69,35,5 5/4,0,n/a,ornamentation
53,62,39,6 1/2,1,n/a,ornamentation
54,60,40,6 5/8,1,n/a,ornamentation
55,59,41,6 3/4,1,n/a,ornamentation
56,60,42,6 7/8,1,n/a,ornamentation
60,69,44,6 3/2,0,4,other
63,69,45,7,0,4,other
64,70,46,7 1/4,0,n/a,ornamentation
66,57,48,7 1/1,3,0,repetition
68,72,49,7 5/4,0,n/a,ornamentation
72,67,52,8,1,2,other
74,60,53,8 1/2,2,2,other
75,62,54,8 3/4,2,0,repetition
76,55,55,8 1/1,3,0,repetition
95,59,66,10 1/4,1,n/a,ornamentation
96,60,67,10 1/2,1,n/a,ornamentation
98,48,69,10 1/1,3,0,repetition
99,60,69,10 1/1,2,0,repetition
106,67,74,11 1/2,1,2,other
107,65,75,11 5/8,2,n/a,ornamentation
108,64,76,11 3/4,2,n/a,ornamentation
109,65,77,11 7/8,2,n/a,ornamentation
117,69,82,12 1/1,0,0,repetition
118,67,83,12 9/8,1,n/a,ornamentation
119,65,84,12 5/4,1,3,other
120,64,85,12 11/8,0,n/a,ornamentation
121,65,86,12 3/2,0,4,other
122,67,87,12 13/8,0,n/a,ornamentation
123,69,88,12 7/4,0,1,other
124,70,89,12 15/8,0,n/a,ornamentation
128,69,91,13 1/4,0,n/a,ornamentation
