ornament,voice,bar,pitch
R 0 E -2 E 3 E,1,6 5/4,64
E -1 E -2 E 2 E 1 W,1,6 13/8,64
Q 5 Q -3 E -2 E 2 E 2 E -8 Q,1,9 1/4,67
Q 7 E -2 E -1 E,1,9 5/4,65
E -2 E -2 E -1 E -2 E,1,9 13/8,60
R 0 E 1 E 2 E 2 E,2,10 1/8,57
R 0 E,0,10 5/8,64
E 1 E,0,10 7/8,67
Q -2 Q 3 Q -1 Q 1 H,0,10 5/4,64
H 0 Q,1,15,62
Q -2 Q,3,15 3/4,48
R 0 Q,1,15 5/4,59
Q -1 Q,1,15 7/4,59
R 0 E -1 E -2 E -2 E -2 E -1 E -2 Q,2,16 1/4,70
Q -2 Q -1 Q -2 Q 2 H,2,16 5/4,58
R 0 Q 2 Q 2 Q 1 H,2,18 1/4,55
Q -1 Q 1 E -1 E -2 E -2 E 2 Q.,0,19 1/4,64
Q. -5 E 1 Q 2 Q 0 R,0,19 11/8,57
Q 2 Q 1 E -1 E -2 E,0,21 5/4,64
E 2 E,0,21 15/8,64
Q 0 E 2 E 1 E,2,28 3/4,55
R 0 E,3,28 9/8,57
R 0 E,0,28 11/8,60
R 0 Q,3,28 7/4,53
E -2 E,0,29 11/8,64
E -2 E,0,37 5/8,60
E 2 E,0,37 7/8,64
R 0 Q,0,42 5/4,53
Q -2 E 2 E 2 E 1 E 2 E 2 E 1 Q 2 Q 2 W.,1,58 1/4,57
