ornament,voice,bar,pitch
Q 2 Q -2 Q -1 Q 1 Q,4,2 1/4,55
Q 2 Q 1 Q -3 Q 2 Q,2,2 5/4,52
Q -2 Q 2 Q 1 Q -1 Q,2,3 1/4,50
Q 5 S -2 S -2 S -1 S 1 E,2,3 5/4,57
E -3 E 2 E 1 E 2 Q,2,3 13/8,50
Q -4 Q 1 Q 2 Q 1 Q,3,4 1/4,54
Q 2 Q 1 Q 2 Q 2 Q,5,4 5/4,45
Q -2 Q,4,5 1/4,60
Q 2 Q,4,5 3/4,64
E 4 E 2 E -2 E -2 E,4,5 9/8,69
E -2 E -1 E -2 E 2 W,4,5 13/8,65
Q -1 Q,5,6 7/4,45
Q 2 Q,4,8 1/4,64
R 0 Q,3,8 3/4,67
Q -3 E 2 E 1 E,3,8 5/4,62
R 0 E 2 E 2 E 1 Q,0,8 13/8,67
Q 5 Q -1 Q -2 Q -2 H,5,9 1/4,53
Q -1 Q,5,9 7/4,45
Q -6 E 1 E 2 E 2 E 1 E 2 E -2 E,0,10 1/4,64
E -8 E 1 E 2 E 1 E 2 E 2 E 2 E 1 Q,4,10 9/8,54
R 0 Q 2 Q 2 Q -2 Q,2,11 1/4,53
Q 7 Q -2 Q -2 Q -1 W,4,11 5/4,69
Q -1 Q -4 Q 2 Q 2 W,0,12 5/4,66
Q -2 Q 2 Q 2 Q 1 Q,3,13 5/4,60
R 0 Q 2 Q 2 Q -2 E,2,14 1/4,53
E -1 E 1 E 2 E -2 Q -1 Q -2 W,0,14 9/8,69
Q 3 Q -1 Q -2 Q -1 Q,0,15 5/4,70
R 0 Q -1 Q -2 Q -2 Q,4,16 1/4,67
Q -3 E 1 E 2 E 2 E 1 E -3 E 2 H,2,16 5/4,47
H 1 Q -1 Q -2 Q,5,17 1/2,46
Q 2 Q 1 Q 2 Q 2 Q,5,17 5/4,45
Q 2 Q -2 Q -1 Q,2,18 1/4,55
R 0 S -1 S -2 S -2 S 2 E -2 E 2 E 2 E 1 Q,1,18 5/4,58
Q -1 Q 1 Q 2 Q 1 Q,2,19 1/4,54
Q 2 Q 1 Q -3 Q 2 E,0,19 5/4,64
E 7 E -2 E -1 E -2 E,3,20 1/8,67
E -2 E -1 E -2 E 2 Q,3,20 5/8,60
Q -2 Q 2 Q 2 Q -2 Q,2,20 5/4,60
Q 1 Q -1 Q -2 Q,0,21 1/4,67
Q 2 Q,2,21 5/4,64
Q -1 Q,0,21 7/4,66
Q -3 E 1 E 2 Q 2 Q 1 H,0,22 1/4,64
E -1 E 1 E 2 E 2 Q,0,23 1/8,69
R 0 Q,1,23 7/4,64
R 0 Q,0,24 1/4,70
Q -2 Q,0,24 5/4,67
Q -1 Q,0,24 7/4,69
Q 1 Q -1 Q -2 Q 2 Q,3,25 1/4,63
Q 2 Q -2 Q -1 Q 1 Q,0,25 5/4,72
Q 2 Q,0,26 1/4,72
R 0 Q,0,27 5/4,70
Q -3 Q,0,27 7/4,69
Q 5 Q -1 Q -2 Q -2 H,5,28 1/4,51
H -1 Q -2 Q 2 Q,1,28 3/2,57
Q 1 Q 2 Q -3 Q,2,29 1/4,65
Q -2 Q,2,29 7/4,62
Q -3 Q 3 Q 2 Q,0,31 1/4,62
