ornament,voice,bar,pitch
Q -2 Q,3,15 1/4,55
Q 1 Q,0,15 5/4,67
Q -3 Q,0,15 7/4,66
E -2 E,2,18 11/8,59
Q 2 Q 2 Q -3 Q 1 H,3,19 5/4,55
R 0 Q,2,22 1/4,60
Q -1 Q,1,23 1/4,59
Q 1 Q,0,23 5/4,67
Q -3 Q,0,23 7/4,66
R 0 Q,2,26 1/4,60
Q -1 Q,1,27 1/4,59
Q -2 Q,1,27 5/4,55
Q -3 Q,1,27 7/4,54
E -2 E,0,30 11/8,64
Q 2 Q 2 Q 1 Q 2 Q,1,37 1/4,57
R 0 Q -1 Q -2 Q -2 H,4,37 5/4,60
R 0 Q,1,38 5/4,60
H. -1 Q,5,39 3/4,47
E -1 E,2,47 3/8,59
R 0 Q,2,52 5/4,62
R 0 Q,0,54 5/4,67
Q -2 Q,2,61 5/4,55
Q -3 Q,2,61 7/4,54
Q -5 Q 2 Q 1 Q 2 H,1,62 1/4,57
E -2 E,0,64 11/8,64
R 0 Q,3,67 5/4,55
Q -3 Q,0,70 5/4,69
R 0 Q,0,72 5/4,72
R 0 Q,1,74 5/4,55
Q 3 Q,1,74 7/4,57
Q -2 Q -1 Q -2 Q 2 H,4,82 1/4,53
H 7 Q,5,85 3/2,57
R 0 Q,3,87 1/4,55
Q 2 Q,4,88 5/4,50
Q 1 Q,4,88 7/4,53
H -12 Q,0,92 3/2,59
H. -1 Q,4,102 3/4,52
H -2 Q -2 Q 2 H.,3,103 3/2,57
H. -2 Q,0,104 3/4,64
Q 5 Q 2 Q -3 Q 1 H.,0,104 5/4,67
H. 3 Q,3,106 3/4,53
