ornament,voice,bar,pitch
R 0 S,2,5 3/16,54
S -1 S 1 T -1 T -2 T 2 T 1 Q,2,5 5/16,54
E. 2 T -2 T 3 S,2,6 11/16,64
S -1 S 1 T -1 T -2 T 2 T 1 Q,2,6 13/16,64
R 0 S -2 S 2 E,1,11 5/8,61
S -1 S 1 S 2 S -2 E,4,13 1/16,57
R 0 S,3,14 11/16,54
S -1 S 1 T -1 T -2 T 2 T 1 Q,3,14 13/16,54
E. 6 T -2 T -2 S,2,16 3/16,61
S -1 S 1 T -1 T -2 T 2 T 1 E.,1,16 5/16,61
R 0 T -2 E -2 E -1 E,3,16 23/32,62
E -2 E,3,17 1/8,55
S -1 S 1 S 2 S -2 E,4,17 9/16,57
R 0 S,3,19 3/16,54
S -1 S 1 T -1 T -2 T 2 T 1 E,3,19 5/16,54
E -3 E,0,19 5/8,67
R 0 S,1,20 11/16,61
S -1 S -2 S 2 S 1 S,1,20 13/16,61
S -5 S -2 S -2 S 2 S 2 S 1 S 2 S 2 Q,1,21 1/16,57
E. -3 T 2 T 1 S -1 S 1 S,0,24 3/16,67
S 2 S,0,24 7/16,72
E -2 E 2 E 1 E,4,25 5/8,50
E 2 E -2 E 2 E,0,30 1/8,62
E 2 E -2 E -1 E,0,31 7/8,72
R 0 S,0,32 11/16,67
S -2 S 2 T -2 T -2 T 2 T 2 S,0,32 13/16,67
S -2 S 2 S 1 S -1 E -2 E 2 Q,1,33 1/16,62
E -1 S -2 S 2 E,1,37 5/8,64
R 0 S,2,48 3/16,54
S -1 S 1 T -1 T -2 T 2 T 1 Q,2,48 5/16,54
R 0 T -2 T 3 S,1,49 11/16,64
S -1 S 1 T -1 T -2 T 2 T 1 Q,1,49 13/16,64
R 0 S -2 S 2 E,1,54 5/8,61
R 0 S 1 S 2 S 2 S,1,56 1/16,57
R 0 S,4,56 5/16,60
R 0 S,2,56 7/16,57
R 0 S,3,57 11/16,54
S -1 S 1 T -1 T -2 T 2 T 1 Q,3,57 13/16,54
E. 6 T -2 T -2 S,2,59 3/16,61
S -1 S 1 T -1 T -2 T 2 T 1 Q,1,59 5/16,61
R 0 E -2 E -1 E,3,59 3/4,60
E -2 E,3,60 1/8,55
R 0 S 1 S 2 S 2 S,1,60 9/16,57
R 0 S,4,60 13/16,60
R 0 S,2,60 15/16,57
R 0 S,3,62 3/16,54
S -1 S 1 T -1 T -2 T 2 T 1 Q,3,62 5/16,54
R 0 T -2 T 3 S,1,63 11/16,61
S -1 S 1 T -1 T -2 T 2 T 1 Q,1,63 13/16,61
R 0 S,3,66 11/16,54
S -1 S 1 T -1 T -2 T 2 T 1 Q,3,66 13/16,54
R 0 T -2 T 3 S,0,70 11/16,61
S -1 S 1 T -1 T -2 T 2 T 1 H,0,70 13/16,61
