ornament,voice,bar,pitch
Q 5 S -2 S -1 S -2 S -1 E,1,1 3/4,72
E 1 E -3 E 2 E 1 S,1,2 1/8,67
S -1 S 1 S 2 S 1 S -1 S 1 S 2 S 2 Q,0,2 9/16,66
Q 5 S -2 S -1 S -2 S -2 E,1,4 3/4,72
R 0 E,0,5 1/8,67
R 0 E,3,5 3/8,70
R 0 E,0,5 5/8,69
Q 2 S -2 S -1 S 1 S 2 Q,1,6 1/4,62
E 1 E,0,7 1/8,70
R 0 E,0,7 5/8,72
E -1 E 1 E 2 E,1,10 1/8,59
R 0 S -1 S 1 S -10 Q,2,11 5/16,65
R 0 S,1,12 9/16,67
R 0 S,0,12 11/16,64
S 2 S,0,12 13/16,67
S 1 S,0,12 15/16,70
E -3 E 1 E 2 E 2 Q,0,13 1/8,69
Q 0 E,1,13 3/4,57
E 2 E,1,14 3/8,62
S -5 S 1 S 2 S 2 S,1,14 9/16,59
S 1 S,1,14 13/16,65
R 0 S,0,14 15/16,69
S -1 S 1 S 2 S -2 E,0,15 1/16,69
R 0 S -1 S 1 S 5 E,0,16 5/16,62
R 0 E,1,16 5/8,61
S -1 S -2 S 2 S 1 Q,1,16 13/16,61
S -1 S,0,17 9/16,64
S 2 S,0,17 11/16,67
S -2 S,0,17 13/16,67
S 1 S,0,17 15/16,70
R 0 E,2,18 7/8,57
R 0 S -1 S -2 S 3 S,0,19 9/16,67
R 0 S,1,19 13/16,66
R 0 S,0,19 15/16,66
E -1 E,0,20 5/8,69
E -3 E,0,20 7/8,67
S -2 S,0,21 5/16,70
S -2 S,0,21 7/16,67
E -1 E -2 E 3 E -1 S,0,21 5/8,69
S -2 S -2 S -1 S 1 S 2 S 2 S 2 S -2 E,0,22 1/16,67
E 2 E,0,22 5/8,71
R 0 E,0,23 1/8,72
S -1 S,0,23 13/16,69
S -2 S,0,23 15/16,65
E 2 E 2 E -4 E 2 H,0,24 5/8,67
E 4 E,0,26 3/8,74
E -2 E,0,26 5/8,70
S -2 S,0,26 13/16,70
S -2 S,0,26 15/16,67
R 0 S -1 S -2 S -2 E,2,27 13/16,65
E -2 E 2 E 1 E,1,28 1/8,62
S -1 S 1 S 2 S -2 E,1,28 13/16,69
R 0 E,0,29 3/8,70
E -1 S -2 S 3 S,1,29 5/8,66
S -1 S -2 S 2 S 1 Q,1,29 13/16,66
S -2 S 2 S 2 S 1 S,0,31 1/16,65
S -1 S 1 S 2 S -2 Q,0,31 5/16,69
S -2 S,0,31 13/16,70
S -2 S,0,31 15/16,67
R 0 E,0,33 1/8,72
S -1 S,0,33 9/16,69
R 0 S,1,33 11/16,65
S -2 S,1,33 13/16,62
S -1 S,1,33 15/16,59
Q 2 S -2 S -1 S 1 S 2 H,0,34 3/4,67
S -2 S -1 S 1 S -3 Q,0,36 5/16,70
S -2 S,0,36 13/16,67
S 2 S,0,36 15/16,67
R 0 S -1 S -2 S 3 S,0,39 9/16,67
S -1 S -2 S 2 S 1 E,0,39 13/16,66
E -1 E 1 E 2 E 1 Q,0,40 1/8,66
Q 5 S -2 S -1 S -2 S -1 E,1,40 3/4,72
E 1 E -3 E 2 E 1 S,1,41 1/8,67
S -1 S 1 S 2 S 1 S -1 S 1 S 2 S 2 Q,0,41 9/16,66
R 0 E,1,43 1/8,72
Q 5 S -2 S -1 S -2 S -2 E,1,43 3/4,72
R 0 E,0,44 1/8,67
E 1 E,0,44 3/8,70
Q 2 S -2 S -1 S 1 S 2 Q,1,45 1/4,62
E 1 E,0,46 1/8,70
R 0 E,0,46 5/8,72
R 0 S,1,47 5/16,62
S 1 S,1,47 7/16,62
E -1 E 1 E 2 E,1,49 1/8,59
R 0 E,1,50 5/8,65
E 2 E,1,50 7/8,64
R 0 S,1,51 9/16,67
R 0 S,0,51 11/16,64
S 2 S,0,51 13/16,67
S 1 S,0,51 15/16,70
E -3 E 1 S -1 S 1 S 2 S 2 E,0,52 1/8,69
E -2 E 2 E 1 E,1,52 5/8,55
E 2 E,1,53 3/8,62
R 0 E,0,53 5/8,72
S -1 S 1 S 2 S -2 E -1 E,0,54 1/16,69
R 0 S -1 S 1 S 5 Q,0,55 5/16,62
R 0 E,2,57 7/8,57
S -2 S,0,58 5/16,67
R 0 S,2,58 7/16,67
R 0 S -1 S -2 S 3 S,0,58 9/16,67
S -1 S -2 S 2 S 1 W,0,58 13/16,66
